genre,price_bin,game_count,median_owners,median_revenue,total_revenue,median_review_score,median_playtime,revenue_per_game
Massively Multiplayer,Free,741,150000.0,0.0,0.0,0.6397023474500001,93.0,0.0
Massively Multiplayer,$0-5,152,35000.0,71950.0,168188950.0,0.652173913,72.0,1106506.25
Massively Multiplayer,$5-10,107,35000.0,244650.0,609626350.0,0.6280477231,114.0,5697442.523364486
Massively Multiplayer,$10-15,65,10000.0,149900.0,209767950.0,0.6666666667000001,98.0,3227199.230769231
Massively Multiplayer,$15-20,65,35000.0,699650.0,1038368450.0,0.7000071764,355.0,15974899.23076923
Massively Multiplayer,$20-30,40,75000.0,2061750.0,1774177600.0,0.7381752391,470.0,44354440.0
Massively Multiplayer,$30+,25,350000.0,12246500.0,6481899450.0,0.7465905543,911.0,259275978.0
Movie,Free,1,750000.0,0.0,0.0,0.5333539222,53.0,0.0
Nudity,Free,10,10000.0,0.0,0.0,0.9333333333,0.0,0.0
Nudity,$0-5,45,10000.0,34650.0,2702950.0,0.5950819672000001,0.0,60065.555555555555
Nudity,$5-10,22,10000.0,79900.0,2042300.0,0.7508417508,0.0,92831.81818181818
Nudity,$10-15,9,10000.0,129900.0,11096450.0,0.44,0.0,1232938.888888889
Nudity,$15-20,3,10000.0,199900.0,599700.0,0.5405405405,0.0,199900.0
Nudity,$30+,1,10000.0,1090000.0,1090000.0,,0.0,1090000.0
Photo Editing,Free,33,10000.0,0.0,0.0,0.7045454545000001,0.0,0.0
Photo Editing,$0-5,14,10000.0,49900.0,196443600.0,0.72387710635,38.0,14031685.714285715
Photo Editing,$5-10,9,10000.0,99900.0,6187900.0,0.8685714286,364.0,687544.4444444445
Photo Editing,$10-15,5,10000.0,149900.0,689500.0,0.9195402299000001,1554.0,137900.0
Photo Editing,$15-20,8,10000.0,199900.0,1559200.0,0.81002689205,0.5,194900.0
Photo Editing,$20-30,3,10000.0,249900.0,798800.0,0.6153846154,0.0,266266.6666666667
Photo Editing,$30+,23,10000.0,699900.0,25245000.0,0.7649910775000001,0.0,1097608.6956521738
Platformer,Free,4,10000.0,0.0,0.0,0.6805044182500001,108.5,0.0
Platformer,$0-5,1,750000.0,3742500.0,3742500.0,0.4043290043,56.0,3742500.0
Platformer,$5-10,1,75000.0,524250.0,524250.0,0.6489675516,18.0,524250.0
Puzzle,Free,7,10000.0,0.0,0.0,0.7120901639,121.0,0.0
RPG,Free,1569,10000.0,0.0,0.0,0.6955533597000001,47.0,0.0
RPG,$0-5,2041,10000.0,49900.0,917465600.0,0.7579872204,68.0,449517.6874081333
RPG,$5-10,2291,10000.0,99900.0,3809848950.0,0.8,64.0,1662963.3129637712
RPG,$10-15,1556,10000.0,149900.0,3223795500.0,0.8162031439,125.0,2071848.0077120822
RPG,$15-20,1245,35000.0,664650.0,6729248900.0,0.8188888889,226.0,5405019.196787149
RPG,$20-30,658,35000.0,1049650.0,9249209250.0,0.8027747324500001,358.5,14056549.012158055
RPG,$30+,378,75000.0,3580500.0,28052841950.0,0.8108085909,747.5,74213867.5925926
Racing,Free,286,10000.0,0.0,0.0,0.7302567734000001,31.0,0.0
Racing,$0-5,421,10000.0,49900.0,142346150.0,0.6904761905,23.0,338114.3705463183
Racing,$5-10,330,10000.0,99900.0,202794650.0,0.7719298246,34.0,614529.2424242424
Racing,$10-15,153,10000.0,149900.0,293369400.0,0.8219455117500001,88.0,1917447.0588235294
Racing,$15-20,160,35000.0,699650.0,754740300.0,0.8122270742000001,150.0,4717126.875
Racing,$20-30,98,35000.0,1049650.0,931299700.0,0.7978914019500001,219.5,9503058.163265307
Racing,$30+,80,35000.0,1662150.0,1352191650.0,0.7442438514,409.0,16902395.625
Sexual Content,Free,15,10000.0,0.0,0.0,0.9263440860000001,0.0,0.0
Sexual Content,$0-5,36,10000.0,22400.0,2525700.0,0.7037037037,0.5,70158.33333333333
Sexual Content,$5-10,17,10000.0,69900.0,1453050.0,0.8109756098,0.0,85473.5294117647
Sexual Content,$10-15,5,10000.0,119900.0,964250.0,0.44,0.0,192850.0
Sexual Content,$15-20,6,10000.0,199900.0,1186400.0,0.5714285714,0.0,197733.33333333334
Sexual Content,$20-30,1,10000.0,249900.0,249900.0,0.8509874327,382.0,249900.0
Shooter,Free,27,10000.0,0.0,0.0,0.89655187905,149.0,0.0
Shooter,$0-5,1,350000.0,574000.0,574000.0,0.6772870662,86.0,574000.0
Shooter,$15-20,1,750000.0,14992499.999999998,14992499.999999998,0.7994599902,123.0,14992499.999999998
Simulation,Free,1394,10000.0,0.0,0.0,0.71448167745,36.0,0.0
Simulation,$0-5,2604,10000.0,49900.0,703207850.0,0.7192982456,31.0,270049.09754224273
Simulation,$5-10,2584,10000.0,99900.0,2277941550.0,0.7889248801000001,64.0,881556.3273993809
Simulation,$10-15,1578,10000.0,149900.0,2352942700.0,0.7941176471,90.0,1491091.6983523448
Simulation,$15-20,1412,10000.0,199900.0,7218839400.0,0.79562412195,189.0,5112492.492917847
Simulation,$20-30,775,35000.0,1049650.0,6571698850.0,0.7965608987000001,293.0,8479611.41935484
Simulation,$30+,355,35000.0,1749650.0,9935812400.0,0.7780678851,593.0,27988203.943661973
Software Training,Free,48,10000.0,0.0,0.0,0.75,15.0,0.0
Software Training,$0-5,12,10000.0,39900.0,3575750.0,0.7106060606,38.0,297979.1666666667
Software Training,$5-10,12,10000.0,89900.0,9529350.0,0.7810391363,0.0,794112.5
Software Training,$10-15,22,10000.0,149900.0,4007300.0,0.6666666667000001,0.0,182150.0
Software Training,$15-20,8,10000.0,199900.0,16891550.0,0.5568553459000001,0.5,2111443.75
Software Training,$20-30,8,10000.0,299900.0,13245550.0,0.59624904795,16.5,1655693.75
Software Training,$30+,28,10000.0,699900.0,21384150.0,0.7107192835,0.0,763719.6428571428
Sports,Free,454,10000.0,0.0,0.0,0.7098282846,47.0,0.0
Sports,$0-5,518,10000.0,49900.0,163289300.0,0.7000000000000001,0.0,315230.3088803089
Sports,$5-10,456,10000.0,99900.0,215786200.0,0.7748070326000001,0.5,473215.350877193
Sports,$10-15,233,10000.0,149900.0,353160800.0,0.8077571669,69.0,1515711.5879828327
Sports,$15-20,259,10000.0,199900.0,344614549.99999994,0.7857142857,93.0,1330558.108108108
Sports,$20-30,159,10000.0,299900.0,553202650.0,0.7721925134000001,116.0,3479261.9496855345
Sports,$30+,127,35000.0,1399650.0,3067180450.0,0.74518994345,411.0,24151027.16535433
Strategy,Free,1479,35000.0,0.0,0.0,0.7089096833999999,56.0,0.0
Strategy,$0-5,2270,10000.0,49900.0,749892750.0,0.7352346599,65.0,330349.22907488985
Strategy,$5-10,2333,10000.0,99900.0,2418360550.0,0.7913557214,80.0,1036588.3197599658
Strategy,$10-15,1392,10000.0,149900.0,2800915150.0,0.8,129.0,2012151.6882183908
